t(s), cv(%), R($), iR($), C($), iC($), d
232,62.4,4928.054,5137.564,45471406.06,179783.951,16.8
233,62.4,4940.396,5150.364,45472048.04,180555.556,16.8
234,62.4,4976.114,5186.731,45472690.01,181327.16,16.8
235,62.4,5013.587,5225.499,45473331.99,182098.765,16.8
236,62.4,5029.084,5241.256,45473973.96,182870.37,16.8
237,62.4,5044.992,5257.865,45474615.94,183641.975,16.8
238,62.4,5081.3,5294.563,45475257.91,184413.58,16.8
239,62.4,5108.891,5325.814,45475899.89,185185.185,16.8
240,62.4,5119.064,5336.317,45476541.87,185956.79,16.8
241,62.4,5141.413,5359.266,45477183.84,186728.395,16.8
242,62.4,5176.802,5395.389,45477825.82,187500,16.8
243,62.4,5199.797,5418.636,45478467.79,188271.605,16.8
244,62.4,5212.002,5430.986,45479109.77,189043.21,16.8
245,62.4,5244.162,5463.547,45479751.74,189814.815,16.8
246,62.4,5283.96,5504.134,45480393.72,190586.42,16.8
247,62.4,5304.844,5526.536,45481035.69,191358.025,16.8
248,62.4,5321.382,5543.401,45481677.67,192129.63,16.8
249,62.4,5357.257,5580.379,45482319.64,192901.235,16.8
250,62.4,5387.643,5611.871,45482961.62,193672.84,16.8
251,62.4,5404.455,5631.221,45483603.59,194444.444,16.8
252,62.4,5429.317,5656.442,45484245.57,195216.049,16.8
253,62.4,5466.866,5695.194,45484887.54,195987.654,16.8
254,62.4,5491.169,5720.172,45485529.52,196759.259,16.8
255,62.4,5506.302,5735.434,45486171.5,197530.864,16.8
256,62.4,5543.302,5772.87,45486813.47,198302.469,16.8
257,62.4,5581.732,5812.533,45487455.45,199074.074,16.8
258,62.4,5596.793,5828.726,45488097.42,199845.679,16.8
259,62.4,5613.286,5845.655,45488739.4,200617.284,16.8
260,62.4,5649.621,5883.007,45489381.37,201388.889,16.8
261,62.4,5678.512,5912.318,45490023.35,202160.494,16.8
262,62.4,5687.609,5922.672,45490665.32,202932.099,16.8
263,62.4,5715.93,5954.482,45491307.3,203703.704,16.8
264,62.4,5751.78,5991.674,45491949.27,204475.309,16.8
265,62.4,5771.071,6011.798,45492591.25,205246.914,16.8
266,62.4,5781.836,6026.28,45493233.22,206018.519,16.8
