# t(s), cv(%), R($), iR($), C($), iC($), d
282.000,75.000,2.254,2.254,771.605,771.605,0.000
283.000,75.000,1.806,1.806,771.605,771.605,0.000
284.000,75.000,0.319,0.319,771.605,771.605,0.000
285.000,75.000,1.528,1.528,771.605,771.605,0.000
286.000,75.000,2.517,2.517,771.605,771.605,0.000
287.000,75.000,1.205,1.205,771.605,771.605,0.000
288.000,75.000,1.378,1.378,771.605,771.605,0.000
289.000,75.000,1.912,1.912,771.605,771.605,0.000
290.000,75.000,1.836,1.836,771.605,771.605,0.000
291.000,75.000,3.203,3.203,771.605,771.605,0.000
292.000,75.000,0.922,0.922,771.605,771.605,0.000
293.000,75.000,1.504,1.504,771.605,771.605,0.000
294.000,75.000,1.177,1.177,771.605,771.605,0.000
295.000,75.000,0.539,0.539,771.605,771.605,0.000
296.000,75.000,1.539,1.539,771.605,771.605,0.000
297.000,75.000,1.534,1.534,771.605,771.605,0.000
298.000,75.000,0.948,0.948,771.605,771.605,0.000
299.000,75.000,0.521,0.521,771.605,771.605,0.000
300.000,75.000,1.213,1.213,771.605,771.605,0.000
301.000,75.000,3.365,3.365,771.605,771.605,0.000
302.000,75.000,0.547,0.547,771.605,771.605,0.000
303.000,75.000,0.704,0.704,771.605,771.605,0.000
304.000,75.000,7.201,7.201,771.605,771.605,0.000
305.000,75.000,1.691,1.691,771.605,771.605,0.000
306.000,75.000,0.994,0.994,771.605,771.605,0.000
307.000,75.000,1.277,1.277,771.605,771.605,0.000
308.000,75.000,2.944,2.944,771.605,771.605,0.000
309.000,75.000,0.923,0.923,771.605,771.605,0.000
310.000,75.000,0.727,0.727,771.605,771.605,0.000
311.000,75.000,2.262,2.262,771.605,771.605,0.000
312.000,75.000,2.090,2.090,771.605,771.605,0.000
313.000,75.000,0.693,0.693,771.605,771.605,0.000
314.000,75.000,0.711,0.711,771.605,771.605,0.000
315.000,75.000,2.024,2.024,771.605,771.605,0.000
316.000,75.000,3.079,3.079,771.605,771.605,0.000
317.000,75.000,0.381,0.381,771.605,771.605,0.000
318.000,75.000,1.291,1.291,771.605,771.605,0.000
319.000,75.000,2.591,2.591,771.605,771.605,0.000
320.000,75.000,1.072,1.072,771.605,771.605,0.000
321.000,75.000,0.823,0.823,771.605,771.605,0.000
322.000,75.000,1.952,1.952,771.605,771.605,0.000
323.000,75.000,2.261,2.261,771.605,771.605,0.000
324.000,75.000,0.512,0.512,771.605,771.605,0.000
325.000,75.000,0.729,0.729,771.605,771.605,0.000
326.000,75.000,2.225,2.225,771.605,771.605,0.000
327.000,75.000,1.292,1.292,771.605,771.605,0.000
328.000,75.000,0.670,0.670,771.605,771.605,0.000
329.000,75.000,2.369,2.369,771.605,771.605,0.000
330.000,75.000,1.873,1.873,771.605,771.605,0.000
331.000,75.000,0.959,0.959,771.605,771.605,0.000
332.000,75.000,1.012,1.012,771.605,771.605,0.000
333.000,75.000,2.147,2.147,771.605,771.605,0.000
334.000,75.000,1.916,1.916,771.605,771.605,0.000
335.000,75.000,0.443,0.443,771.605,771.605,0.000
336.000,75.000,0.836,0.836,771.605,771.605,0.000
337.000,75.000,2.634,2.634,771.605,771.605,0.000
338.000,75.000,1.154,1.154,771.605,771.605,0.000
339.000,75.000,0.827,0.827,771.605,771.605,0.000
